action,timestamp
doctor_writing,2020/04/21 19:10:13
client_writing,2020/04/21 19:10:13
client_reading,2020/04/21 19:10:13
client_writing,2020/04/21 19:10:13
doctor_writing,2020/04/21 19:10:19
client_writing,2020/04/21 19:10:19
client_reading,2020/04/21 19:10:19
client_writing,2020/04/21 19:10:19
doctor_writing,2020/04/21 19:10:37
client_writing,2020/04/21 19:10:37
client_reading,2020/04/21 19:10:37
client_writing,2020/04/21 19:10:37
doctor_writing,2020/04/21 19:16:48
client_writing,2020/04/21 19:16:48
client_reading,2020/04/21 19:16:48
client_writing,2020/04/21 19:16:48
client_writing,2020/04/21 19:16:48
doctor_writing,2020/04/21 19:16:48
